,rouge1,rouge2,rougeL,rougeLsum,bleu,meteor,bert_precision,bert_recall,bert_f1
TextRank,0.21147239348402963,0.10650112682919322,0.20685482982482029,0.20656882276912086,0.1782333033227083,0.3122045251271111,0.7324810248136521,0.7549389892935753,0.7430799536466598
LexRank,0.23572911649680653,0.11822588579386095,0.23078769578867858,0.23064786040501234,0.2616280519963755,0.3226668541162662,0.7366725467801094,0.737440947329998,0.7365292442679405
LSA,0.17356994685282154,0.0782693191626504,0.17075780764403214,0.17049547906777124,0.1759434353344098,0.26946537045371743,0.7042274683713913,0.7215958197772503,0.7124565601706505
KL,0.20349347565152484,0.10009224338164843,0.20002897668600586,0.20030079677040902,0.19172517335796052,0.29564723902407725,0.7121538047134877,0.7286349287986755,0.7198651413798333
Luhn,0.2289166690428604,0.11318893935520488,0.22497935226954188,0.22491543868527844,0.23028604288666157,0.3460231152617527,0.7278526017725467,0.742424154663086,0.7345081730008125
BertSum,0.24570985356380895,0.11617103019477004,0.2417399222673351,0.24202204295001745,0.24261055138316304,0.3746807485768015,0.7324810248136521,0.7549389892935753,0.7430799536466598
